Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
,Sterzing,,"11,4333","46,9",,,,7005434
,Klausen,,"11,5667","46,6333",,,,1044226
,Bruneck,,"11,9333","46,8",,,,7005436
,Lienz,,"12,8333","46,85",,,,7005620
,Glurns,,"10,55","46,6667",,,,1044837
,Vils,,"13,1833","48,6333",,,,1131481
,Schwaz,,"11,7333","47,35",,,,7003247
,Imst,,"10,75","47,2333",,,,7003250
,Reutte,,"10,7333","47,5",,,,7003253
,Riva,,"-76,5667","38,95",,,,2048469
,Pergine,,,,,,,
,Levico,,"11,3","46,0167",,,,1045078
,Borgo,,,,,,,7005703
,Lavis,,"11,1167","46,1333",,,,1045046
,Cles,,"11,0333","46,3667",,,,1044294
,Fondo,,"11,1333","46,4333",,,,1044644
,Regensburg,,"12,1","49,0167",,,,7013496
,Bruenn,,,,,,,
,Villach,,"13,85","46,6167",,,,7003232
,Feldkirch,,"9,6333","47,25",,,,7003119
,Köln,,"6,95","50,9333",,,,7004446
,Treviso,,"12,25","45,6667",,,,7003297
,Padua,,"11,8833","45,4167",,,,7003085
,Cittadella,,"11,8","45,65",,,,7003101
,Lichtensteig,,"9,1","47,3333",,,,1064197
,Maros-vásárhely,,,,,,,
,O-o-innsbruck,,,,,,,
,Münster,,"7,3833","47,3",,,,7007416
,Paderborn,,"8,7333","51,7167",,,,7005101
,Goettingen,,,,,,,
,Braunsberg,,"19,8333","54,4",,,,7007598
,Syrakus,,,,,,,
,Pisa,,,,,,,1108174
,Palermo,,"13,3833","38,1333",,,,7003928
,Hildburghausen,,"10,75","50,4167",,,,1036943
,Santa-maria-dell-anima,,,,,,,
,Vatikan,,"12,45","41,9",,,,7001168
,Schloß-johannesberg,,,,,,,
,Teschen,,,,,,,6005897
,Friedeck,,,,,,,
,Karvin,,,,,,,
,Freistadt,,"15,6","51,75",,,,1049149
,Freiwaldau,,"15,1","51,4333",,,,1049065
,Olmütz,,"17,25","49,6333",,,,7011841
,Schloss-johannesberg,,,,,,,
,Johannesberg,,"-113,7","33,7167",,,,2398679
,Zuckmantel,,,,,,,
,Holstein,,,,,,,7003679
,Freiburg-im-breisgau,,,,,,,
,Mannheim,,"8,4667","49,5",,,,7005179
,Universitaet-freiburg,,,,,,,
,Milano,,"9,5","45,5",,,,7003150
,Pontevico,,"10,1","45,2667",,,,1046121
,Liblin,,,,,,,
,Liebstein,,,,,,,
,Bujesil,,,,,,,
,Wrch,,,,,,,
,Lhotka,,,,,,,
,Kockow,,,,,,,
,Rakolaus,,,,,,,
,Rohy,,,,,,,
,Kraschau,,,,,,,
,Brodeslad,,,,,,,
,Kozojed,,,,,,,
,Borek,,,,,,,
,Vsehrdy,,,,,,,
,Lednitz,,,,,,,
,Unterhradischt,,,,,,,
,Plass,,"13,4","49,9333",,,,7011725
,Kralowitz,,,,,,,
,Ober-und-unterliblin,,,,,,,
,Kotzkow,,,,,,,
,Rovinj,,"13,6667","45,0833",,,,7015531
,Pago,,,,,,,
,Lattugna,,,,,,,
,Vodizze,,,,,,,
,Kiew,,"30,5167","50,4333",,,,7010171
,Vendig,,,,,,,
,Koethen,,,,,,,
,Schoenbrunn,,"-81,4","40,45",,,,2081785
,Waitzen,,"19,1333","47,7667",,,,7010526
,Leitmeritz,,"14,1667","50,55",,,,7011695
,Budweis,,"14,4833","48,9667",,,,7011338
,Goerz,,,,,,,
,Martinsberg,,"15,1667","48,3833",,,,1025831
,Neutra,,"18,0667","48,3167",,,,7011715
,Marienschein,,,,,,,
,Freienberg-bei-linz,,,,,,,
,Castagnavizza,,,,,,,
,Laibach,,"14,5","46,0667",,,,7012986
,Castagnavizza-bei-görz,,,,,,,
,Linz,,"7,2833","50,5667",,,,1040137
,Capodistria,,"13,7333","45,5167",,,,7012983
,Reichenberg,,"15,0833","50,8",,,,7011694
,Jungbunzlau,,"14,9167","50,4333",,,,7011710
,Komotau,,"13,4333","50,45",,,,1027132
,Joachimsthal,,"13,7667","52,9667",,,,1037007
,Chrudim,,"15,7833","49,95",,,,1027136
,Znaim,,"16,0667","48,8667",,,,7011825
,Korneuburg,,"16,3333","48,3667",,,,1025737
,Wiener-neustadt,,,,,,,
,Bregenz,,"9,7667","47,5167",,,,7003116
,Marburg,,"8,7667","50,8167",,,,7012330
,Cilli,,,,,,,
,Idria,,"-120,6667","36,4167",,,,2011854
,Veglia,,"14,5667","45,0333",,,,7015516
,Lusin-piccolo,,,,,,,
,Rovigno,,,,,,,
,Celje,,"15,2667","46,25",,,,1064961
,Maribor,,"15,6667","46,55",,,,7012987
,Troppau,,"17,9167","49,9667",,,,7011718
,Opava,,"18,25","49,8333",,,,1128122
,Gratz,,"15,3667","47,0833",,,,7003097
,Stuttgart,,"9,3333","48,6667",,,,1003262
,Bad-gastein,,,,,,,
,Hagenau,,"7,7833","48,8167",,,,7008077
,Hrádek,,"16,2833","48,7833",,,,7011480
,Steger,,"-87,6333","41,4667",,,,2030266
,Koeniggraetz,,,,,,,
,Lofer,,"12,7","47,6",,,,1025797
,Radstadt,,"13,4667","47,3833",,,,1025977
,Teisendorf,,"12,8333","47,8333",,,,1041394
,Landshut,,"12,1667","48,5167",,,,7004414
,Eichstaett,,,,,,,
,Gotha,,"10,7167","50,95",,,,7005938
,Wartenberg,,"13,5167","52,5667",,,,1005877
,Varazdin,,,,,,,
,Smeczna,,,,,,,
,Ostende,,"2,9167","51,2167",,,,7007967
,Stanislawow,,,,,,,
,Suczawa,,"26,3","47,6167",,,,7009125
,Asch,,"10,8333","47,95",,,,1038241
,Blasendorf-blaj,,,,,,,
,Udvarhely,,,,,,,
,Fogaras,,,,,,,
,Karlsburg,,"23,55","46,0667",,,,7004080
,Retteg,,,,,,,
,Debrecen,,"21,6167","47,5",,,,7010469
,Zilah,,"23,05","47,1833",,,,1050342
,Oesterreich,,"13,3333","47,3333",,,,1000062
,Roms,,,,,,,
,Marosvaserhely,,,,,,,
,Dees,,"-88,3333","30,55",,,,2282835
,Utscha,,,,,,,
,Bamberg,,"10,9","49,9",,,,7004325
,Osmolice,,,,,,,
,Lublin,,"22,5167","51,3",,,,7007732
,Sonneberg-bei-coburg,,,,,,,
,Schlinig,,,,,,,
,Baja,,"18,9667","46,1833",,,,7010467
,Theresiopel,,,,,,,
,Bezdan,,,,,,,
,Peterwardein,,"21,4167","45,25",,,,7015646
,Temescher-banat,,,,,,,
,Pančero,,,,,,,
,Weisskirchen,,"6,8167","49,5667",,,,6006458
,Rastatt,,"8,2","48,85",,,,7012661
,Erlangen,,"11,0333","49,6",,,,7004332
,Jicin,,,,,,,
,Raudnitz,,,,,,,
,Luzern,,"8,2833","47,05",,,,7007280
,Uhřínově,,,,,,,
,Velké-meziříčí,,,,,,,
,Komjath,,,,,,,
,Tyrnau,,"17,5833","48,3833",,,,7011810
,Verebely,,,,,,,
,Istvanfalva,,,,,,,
,Huenfeld,,,,,,,
,Zagreb,,"15,9667","45,8",,,,7015558
,Possegg,,,,,,,
,Voelkermarkt,,,,,,,
,Hannover,,"9,7333","52,4",,,,7013260
,Weimar,,"11,3167","50,9833",,,,7012886
,Eisenstadt,,"16,5333","47,8333",,,,7003056
,Szilágysomlyó,,,,,,,
,Fulda,,,,,,,1124040
,Dreis,,,,,,,
,Hanau,,"8,9333","50,1333",,,,7005295
,Hamburg,,10,"53,5833",,,,7003673
,Coquimbo,,"-71,4167","-29,95",,,,1023430
,Moskau,,"37,7","55,75",,,,7012974
,Warschau,,21,"52,25",,,,7007833
,Wierzenica,,,,,,,
,Posen,,"16,8833","52,4167",,,,7007756
,Kolocsa,,,,,,,
,Csanád,,,,,,,
,Washington,,"-1,5167","54,9",,,,1031011
,London,,"-0,1667","51,5",,,,7011781
,Nikolsburg,,"16,6333","48,8",,,,7011708
,Liebenau,,"9,1","52,6167",,,,7005473
,Tabor,,"-81,3667","40,5167",,,,2527472
,Wodnian,,,,,,,
,Pisek,,"-96,5667","29,9167",,,,2586050
,Přibram,,,,,,,
,Plan,,,,,,,
,Steinschönau,,"14,4833","50,7667",,,,7011510
,Vyšehrad,,"14,45","50,0167",,,,1005858
,Udine,,13,"46,1667",,,,1003506
,Bergamo,,"9,6667","45,7",,,,7005025
,Como,,"9,0833","45,8",,,,7005851
,Crema,,"9,6833","45,3667",,,,7005874
,Cremona,,"10,0167","45,1333",,,,7005868
,Lodi,,"9,5","45,3167",,,,7006011
,Adria,,16,43,,,,7016532
,Ceneda,,"12,3","45,9833",,,,7003315
,Chioggia,,"12,2833","45,2167",,,,7003037
,Vicenza,,"11,45","45,6667",,,,7003008
,Belluno,,"12,2167","46,1333",,,,7003325
,Feltre,,"11,9","46,0167",,,,7003331
,Concordia,,"-89,5667","35,3667",,,,2098076
,Pompéi,,,,,,,
,Parma,,"10,0833","44,7",,,,7003131
,Portici,,"14,3333","40,8167",,,,7006841
